From,To,Int_m,Au_ppm
7,8,1,0.29
8,9,1,0.19
9,10,1,0.18
10,11,1,0.14
11,12,1,0.17
12,13,1,0.35
13,14,1,0.22
14,15,1,0.44
15,16,1,0.43
16,17,1,0.36
17,18,1,0.14
18,19,1,0.43
19,20,1,0.68
20,21,1,1.85
21,22,1,0.27
22,23,1,0.35
23,24,1,0.89
24,25,1,0.79
25,26,1,0.14
26,27,1,0.09
27,28,1,0.11
28,29,1,0.47
29,30,1,0.34
30,31,1,0.27
31,32,1,0.16
32,33,1,0.05
33,34,1,0.19
34,35,1,0.59
35,36,1,0.6
36,37,1,0.93
37,38,1,0.42
38,39,1,0.9
39,40,1,1.34
40,41,1,0.63
41,42,1,0.33
42,43,1,0.2
43,44,1,0.31
44,45,1,0.42
45,46,1,0.47
46,47,1,0.57
47,48,1,0.59
48,49,1,0.59
49,50,1,0.34
50,51,1,0.38
51,52,1,0.86
52,53,1,0.89
53,54,1,1.46
54,55,1,0.4
55,56,1,0.41
56,57,1,0.03
57,58,1,0.13
58,59,1,0.29
59,60,1,0.12
60,61,1,0.23
61,62,1,1.93
62,63,1,1.56
63,64,1,1.02
64,65,1,0.79
65,66,1,0.41
66,67,1,0.55
67,68,1,0.32
68,69,1,1.41
69,70,1,0.26
70,71,1,0.25
71,72,1,0.24
72,73,1,0.4
73,74,1,0.29
74,75,1,0.47
75,76,1,0.36
76,77,1,0.26
77,78,1,0.23
78,79,1,0.57
79,80,1,0.93
80,81,1,0.44
81,82,1,0.29
82,83,1,0.26
83,84,1,0.39
84,85,1,0.78
85,86,1,1.17
86,87,1,1.09
87,88,1,1.3
88,89,1,1.04
89,90,1,0.84
90,91,1,0.3
91,92,1,0.31
92,93,1,0.35
93,94,1,0.36
94,95,1,0.57
95,96,1,0.56
96,97,1,0.67
97,98,1,1.47
98,99,1,2.74
99,100,1,0.44
100,101,1,0.64
101,102,1,0.49
102,103,1,0.75
103,104,1,0.71
104,105,1,0.49
105,106,1,0.15
106,107,1,0.64
107,108,1,0.45
108,109,1,1.04
109,110,1,0.48
110,111,1,0.31
111,112,1,0.87
112,113,1,1.14
113,114,1,0.91
114,115,1,0.59
115,116,1,0.98
116,117,1,0.49
117,118,1,0.12
118,119,1,0.23
119,120,1,0.3
120,121,1,0.27
121,122,1,1.48
122,123,1,2.11
123,124,1,1.28
124,125,1,1.42
125,126,1,2.4
126,127,1,11.5
127,128,1,2.18
128,129,1,9
129,130,1,2.05
130,131,1,1.08
131,132,1,2.36
132,133,1,1.67
133,134,1,2.65
134,135,1,0.67
135,136,1,0.49
136,137,1,1.15
137,138,1,0.47
138,139,1,0.53
139,140,1,0.32
140,141,1,0.64
141,142,1,0.37
142,143,1,0.53
143,144,1,0.49
144,145,1,0.54
145,146,1,0.27
146,147,1,0.63
147,148,1,0.58
148,149,1,0.59
149,150,1,0.51
150,151,1,0.52
151,152,1,0.92
152,153,1,0.72
153,154,1,0.36
154,155,1,0.5
155,156,1,0.53
156,157,1,0.19
157,158,1,0.52
158,159,1,0.56
159,160,1,0.4
160,161,1,0.91
161,162,1,0.74
162,163,1,0.69
163,164,1,0.73
164,165,1,1.01
165,166,1,0.33
166,167,1,0.61
167,168,1,0.73
168,169,1,0.44
169,170,1,1.11
170,171,1,0.92
171,172,1,0.72
172,173,1,0.6
173,174,1,0.7
174,175,1,0.61
175,176,1,0.61
176,177,1,0.63
177,178,1,0.47
178,179,1,0.48
179,180,1,0.15
180,181,1,0.09
181,182,1,0.29
182,183,1,0.08
183,184,1,0.15
184,185,1,1.22
185,186,1,1.02
186,187,1,0.96
187,188,1,0.94
188,189,1,0.58
189,190,1,0.6
190,191,1,0.34
191,192,1,0.34
192,193,1,0.56
193,194,1,0.32
194,195,1,0.13
195,196,1,0.21
196,197,1,1.12
197,198,1,0.29
198,199,1,0.26
199,200,1,0.32
200,201,1,0.89
201,202,1,0.61
202,203,1,0.33
203,204,1,0.27
204,205,1,0.64
205,206,1,0.44
206,207,1,8.7
207,208,1,0.16
208,209,1,0.19
209,210,1,0.43
210,211,1,0.77
211,212,1,0.89
212,213,1,2.38
213,214,1,2.19
214,215,1,0.93
215,216,1,17.8
216,217,1,0.61
217,218,1,2.15
218,219,1,5.5
219,220,1,0.09
220,221,1,1.77
221,222,1,0.06
222,223,1,0.14
223,224,1,2.09
224,225,1,0.64
225,226,1,0.51
226,227,1,0.09
227,228,1,0.17
228,229,1,0.2
229,230,1,0.06
230,231,1,0.03
231,232,1,0.04
232,233,1,0.24
233,234,1,1.04
234,235,1,0.09
235,236,1,0.7
236,237,1,0.46
237,238,1,0.3
238,239,1,0.25
239,240,1,0.35
240,241,1,0.22
241,242,1,0.46
242,243,1,0.57
243,244,1,0.56
244,245,1,0.58
245,246,1,0.36
246,247,1,0.88
247,248,1,132
248,249,1,0.22
249,250,1,0.13
250,251,1,0.13
251,252,1,0.28
252,253,1,0.99
253,254,1,0.19
254,255,1,0.16
255,256,1,0.13
256,257,1,0.11
257,258,1,0.13
258,259,1,0.4
259,260,1,0.33
260,261,1,0.31
261,262,1,0.11
262,263,1,0.11
263,264,1,0.14
264,265,1,0.88
265,266,1,0.32
266,267,1,0.1
267,268,1,0.13
268,269,1,0.22
269,270,1,0.16
270,271,1,0.11
271,272,1,0.39
272,273,1,0.12
273,274,1,0.07
274,275,1,0.08
275,276,1,0.08
276,277,1,0.08
277,278,1,0.18
278,279,1,2.36
279,280,1,0.08
280,281,1,0.07
281,282,1,0.02
282,283,1,0.05
283,284,1,0.07
284,285,1,0.09
285,286,1,0.02
286,287,1,0.04
287,288,1,0.03
288,289,1,0.04
289,290,1,0.04
290,291,1,0.06
291,292,1,0.06
292,293,1,0.07
293,294,1,0.21
294,295,1,0.1
295,296,1,0.17
296,297,1,0.14
297,298,1,0.09
298,299,1,0.06
299,300,1,0.1
300,301,1,0.14
301,302,1,0.1
302,303,1,0.17
303,304,1,0.08
304,305,1,0.07
305,306,1,0.08
306,307,1,0.34
307,308,1,0.28
308,309,1,0.27
309,310,1,0.44
310,311,1,15.9
311,312,1,1.23
312,313,1,0.11
313,314,1,0.13
314,315,1,0.08
315,316,1,0.09
316,317,1,0.14
317,318,1,0.11
318,319,1,0.17
319,320,1,0.07
320,321,1,0.13
321,322,1,0.16
322,323,1,0.24
323,324,1,0.06
324,325,1,0.09
325,326,1,0.15
326,327,1,0.12
327,328,1,0.13
328,329,1,0.11
329,330,1,0.11
330,331,1,0.15
331,332,1,42.5
332,333,1,0.71
333,334,1,0.4
334,335,1,0.88
335,336.19,1.19,0.81
